id_venda,status,produto,pais,data_criacao,forma_pagamento,valor_bruto,valor_liquido,taxas,moeda,motivo_recusa,utm_source,utm_medium,utm_campaign,dia
L3Qzxfk,paid,FORMAÇÃO STORYTELLING NA EDUCAÇÃO,,2025-07-02 22:47:25,pix,9.9,9.01,0.89,BRL,,Instagram_Reels,[Fase2][CursoMetodologias][Semelhante][02.07][Criativo01new],[Fase2][CursoMetodologias][Semelhante][02.07][Criativo01new],2025-07-02
C5cSMRq,paid,1000 ATIVIDADES PARA FAZER COM AS CRIANÇAS SEM CELULAR,br,2025-07-02 22:47:25,pix,9.9,9.01,0.89,BRL,,Instagram_Reels,[Fase2][CursoMetodologias][Semelhante][02.07][Criativo01new],[Fase2][CursoMetodologias][Semelhante][02.07][Criativo01new],2025-07-02
R0IB9ih,paid,BIBLIOTECA DE RECURSOS,br,2025-07-02 22:47:25,pix,19.9,18.11,1.79,BRL,,Instagram_Reels,[Fase2][CursoMetodologias][Semelhante][02.07][Criativo01new],[Fase2][CursoMetodologias][Semelhante][02.07][Criativo01new],2025-07-02
nJwzj2t,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-02 22:47:23,pix,47.0,40.28,6.72,BRL,,Instagram_Reels,[Fase2][CursoMetodologias][Semelhante][02.07][Criativo01new],[Fase2][CursoMetodologias][Semelhante][02.07][Criativo01new],2025-07-02
FlvGSYS,waiting_payment,CARDS DE LAYOUTS,br,2025-07-02 21:09:37,pix,7.9,7.19,0.71,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-02
QDkragm,waiting_payment,FORMAÇÃO STORYTELLING NA EDUCAÇÃO,br,2025-07-02 21:09:37,pix,9.9,9.01,0.89,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-02
PImzgGI,waiting_payment,1000 ATIVIDADES PARA FAZER COM AS CRIANÇAS SEM CELULAR,br,2025-07-02 21:09:37,pix,9.9,9.01,0.89,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-02
luXipgL,waiting_payment,BIBLIOTECA DE RECURSOS,br,2025-07-02 21:09:37,pix,19.9,18.11,1.79,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-02
rKEwd7G,waiting_payment,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,,2025-07-02 21:09:35,pix,47.0,40.28,6.72,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-02
TkBisXa,paid,Planner Pro Minimalista,br,2025-07-02 21:03:08,pix,24.99,22.74,2.25,BRL,,,,,2025-07-02
gWAfIje,paid,RÁIZES DO EU,br,2025-07-02 21:03:06,pix,19.9,15.62,4.28,BRL,,,,,2025-07-02
uMZ0YCg,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,,2025-07-02 20:36:14,mastercard,47.0,40.28,6.72,BRL,,Facebook_Mobile_Feed,[Fase01][CursoMetodologias][30.01][Criativo08],[Fase01][CursoMetodologias][30.01][Criativo08],2025-07-02
4QsovBW,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-02 10:50:17,pix,47.0,40.28,6.72,BRL,,Facebook_Desktop_Feed,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-02
ziRVmjS,paid,BIBLIOTECA DE RECURSOS,,2025-07-02 06:31:55,mastercard,19.9,18.11,1.79,BRL,,Instagram_Feed,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-02
